aphiaID;rank
149322;Species
149324;Species
149328;Genus
149333;Genus
149334;Species
149335;Genus
149336;Species
149338;Species
149339;Species
149340;Species
149342;Genus
149343;Species
149352;Species
149356;Genus
149357;Species
149376;Species
149378;Species
149387;Species
149391;Genus
149402;Genus
149467;Species
149488;Genus
149493;Species
149494;Species
149508;Species
149510;Genus
149511;Species
149512;Genus
149515;Family
149516;Genus
149518;Genus
149521;Genus
149537;Family
149538;Genus
149552;Family
149553;Genus
149570;Species
149571;Genus
149572;Species
149592;Species
149601;Species
149604;Species
149610;Species
149615;Species
149616;Genus
149619;Species
149623;Species
149624;Species
149629;Species
149630;Genus
149631;Species
149647;Species
149659;Family
150203;Genus
156505;Species
156533;Species
156548;Species
156568;Species
156586;Species
156598;Genus
156607;Species
156611;Species
156617;Species
156619;Species
156621;Species
156623;Species
156629;Species
156632;Species
156690;Species
156946;Genus
157052;Genus
157059;Genus
157062;Species
157069;Species
157072;Genus
157074;Species
157081;Genus
157083;Species
157240;Genus
157248;Species
157252;Species
157256;Order
157257;Family
157258;Genus
157260;Species
157428;Species
157431;Species
157438;Genus
157440;Species
157463;Species
160513;Species
160519;Genus
160521;Species
160523;Species
160524;Species
160527;Genus
160528;Species
160537;Species
160538;Species
160541;Family
160542;Genus
160552;Species
160553;Species
160561;Genus
160563;Genus
160572;Genus
160576;Genus
160581;Class
160582;Order
160583;Family
160584;Genus
160585;Species
160594;Genus
160595;Genus
160597;Order
160599;Genus
160600;Species
160602;Genus
162251;Family
162254;Genus
162255;Species
162258;Species
162518;Genus
162519;Species
162725;Genus
162726;Species
162728;Genus
162770;Variety
162810;Species
162916;Species
162923;Genus
162936;Species
162952;Species
163013;Species
163030;Genus
163055;Species
163063;Species
163089;Species
163126;Forma
163132;Variety
163161;Species
163188;Species
163224;Species
163226;Species
163233;Genus
163242;Species
163247;Genus
163248;Genus
163249;Species
163250;Species
163257;Genus
163259;Species
163262;Species
163321;Genus
163322;Species
163339;Genus
163342;Genus
163344;Species
163346;Species
163474;Genus
163489;Genus
163513;Species
163531;Genus
163712;Species
163735;Genus
163736;Species
163807;Species
