"RLABO","SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","ALABO","METOA","METFP","SLABO","SMTYP","PURPM","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE","MPROG"
"BAMN","AA31","2009","Bouee 1320090519NA",44.6334,-1.2377,,"Bouee 13","20090519",,,"Bouee 13_20090519",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,13205.0592,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090602NA",44.6334,-1.2377,,"Bouee 13","20090602",,,"Bouee 13_20090602",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,18.276762,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090602NA",44.6334,-1.2377,,"Bouee 13","20090602",,,"Bouee 13_20090602",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,11318.53786,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090616NA",44.6334,-1.2377,,"Bouee 13","20090616",,,"Bouee 13_20090616",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,112.485939,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090616NA",44.6334,-1.2377,,"Bouee 13","20090616",,,"Bouee 13_20090616",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,10987.06412,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090701NA",44.6334,-1.2377,,"Bouee 13","20090701",,,"Bouee 13_20090701",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,34.346103,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090701NA",44.6334,-1.2377,,"Bouee 13","20090701",,,"Bouee 13_20090701",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,55244.38573,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090716NA",44.6334,-1.2377,,"Bouee 13","20090716",,,"Bouee 13_20090716",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,31.704095,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090716NA",44.6334,-1.2377,,"Bouee 13","20090716",,,"Bouee 13_20090716",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,70052.84016,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090729NA",44.6334,-1.2377,,"Bouee 13","20090729",,,"Bouee 13_20090729",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,58.220128,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090729NA",44.6334,-1.2377,,"Bouee 13","20090729",,,"Bouee 13_20090729",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,75494.87108,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090814NA",44.6334,-1.2377,,"Bouee 13","20090814",,,"Bouee 13_20090814",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,144782.0343,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320090828NA",44.6334,-1.2377,,"Bouee 13","20090828",,,"Bouee 13_20090828",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,115719.9472,"CEMP~NATL"
